State,Region,City,seller_type,name
Michigan,Central,Detroit,Individual,Chevrolet Beat Diesel LT
New York,East,New York City,Individual,Tata Tiago 1.2 Revotron XZ
New York,East,New York City,Individual,Chevrolet Beat Diesel LT
New York,East,New York City,Individual,Tata New Safari DICOR 2.2 VX 4x2
New York,East,New York City,Individual,Ford Figo Petrol EXI
Illinois,Central,Chicago,Individual,Tata Indica V2 2001-2011 DLS BSIII
New York,East,New York City,Individual,Maruti Swift Dzire VDI
New York,East,New York City,Individual,Maruti Swift Dzire VDI
New York,East,New York City,Individual,Datsun RediGO S
Washington,West,Seattle,Individual,Maruti Alto K10 LXI
North Carolina,South,Charlotte,Individual,Maruti Swift Dzire LDi
Texas,Central,Dallas,Individual,Tata Indica V2 DLX BSII
California,West,Los Angeles,Individual,Mahindra Bolero 2011-2019 DI 4WD NON AC
California,West,San Diego,Individual,Hyundai i20 Asta Option 1.2
California,West,San Diego,Individual,Hyundai EON Era Plus
California,West,Los Angeles,Individual,Maruti Eeco 7 Seater Standard BSIV
California,West,Los Angeles,Individual,Maruti Swift Dzire 1.2 Vxi BSIV
California,West,Los Angeles,Individual,Maruti Swift Dzire VXI
New York,East,New York City,Individual,Chevrolet Beat LT
District of Columbia,East,Washington,Individual,Tata Tiago 1.2 Revotron XZ
District of Columbia,East,Washington,Individual,Chevrolet Sail 1.2 LS ABS
Texas,Central,Dallas,Individual,Maruti Alto LXi BSIII
Massachusetts,East,Boston,Individual,Honda City i VTEC VX
Massachusetts,East,Boston,Individual,Volkswagen Vento Diesel Highline
Texas,Central,Houston,Individual,Maruti Alto K10 2010-2014 VXI
New York,East,New York City,Individual,Hyundai i20 1.2 Asta Option
Pennsylvania,East,Philadelphia,Individual,Tata Venture EX 7 Str Captain Seats
Pennsylvania,East,Philadelphia,Individual,Maruti Ertiga VXI
California,West,Los Angeles,Individual,Hyundai EON Magna Plus
Florida,South,Miami,Individual,Hyundai Getz GLX
District of Columbia,East,Washington,Individual,Maruti Alto LXi
California,West,Los Angeles,Individual,Chevrolet Sail 1.2 LS
Washington,West,Seattle,Individual,Tata Zest Revotron 1.2T XM
Washington,West,Seattle,Individual,Ford Classic 1.4 Duratorq CLXI
California,West,Los Angeles,Individual,Maruti Alto LXI
Michigan,Central,Detroit,Individual,Toyota Innova 2.5 G (Diesel) 8 Seater
Michigan,Central,Detroit,Individual,Mahindra Bolero SLX
California,West,San Diego,Individual,Maruti Alto 800 LXI
Illinois,Central,Chicago,Individual,Maruti Wagon R VXI BS IV
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VDi
Illinois,Central,Chicago,Individual,Tata Safari Storme EX
Illinois,Central,Chicago,Dealer,Maruti Vitara Brezza ZDi Plus Dual Tone
Washington,West,Seattle,Individual,Hyundai Creta 1.6 CRDi SX
Washington,West,Seattle,Individual,Maruti Vitara Brezza VDi
Washington,West,Seattle,Individual,Hyundai i20 1.2 Spotz
California,West,Los Angeles,Individual,Hyundai Grand i10 1.2 Kappa Sportz BSIV
California,West,Los Angeles,Individual,Honda Jazz 1.2 VX i VTEC
New York,East,New York City,Dealer,Honda BR-V i-VTEC S MT
Texas,Central,Dallas,Dealer,Hyundai Verna S
California,West,Los Angeles,Individual,Nissan Micra XV CVT
California,West,Los Angeles,Individual,Ford Figo Aspire 1.2 Ti-VCT Trend
California,West,Los Angeles,Individual,Hyundai EON Sportz
New York,East,New York City,Individual,Datsun RediGO T Option
Texas,Central,Dallas,Individual,Ford Freestyle Titanium Petrol BSIV
District of Columbia,East,Washington,Individual,Hyundai Santro Sportz AMT BSIV
Washington,West,Seattle,Dealer,Ford EcoSport 1.5 Diesel Trend BSIV
Washington,West,Seattle,Individual,Nissan Sunny XL D
Washington,West,Seattle,Individual,Hyundai Grand i10 1.2 Kappa Sportz BSIV
California,West,San Diego,Individual,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta
Illinois,Central,Chicago,Individual,Hyundai i20 1.4 CRDi Asta
New York,East,New York City,Individual,Jeep Compass 2.0 Limited
New York,East,New York City,Individual,Maruti Ertiga ZDI
California,West,Los Angeles,Individual,Tata Manza Aura Quadrajet
Washington,West,Seattle,Individual,Maruti Wagon R LXI
North Carolina,South,Charlotte,Individual,Skoda Rapid 1.5 TDI Elegance
Florida,South,Miami,Individual,Hyundai Verna 1.6 CRDi EX AT
Washington,West,Seattle,Individual,Mahindra Scorpio 1.99 S10
California,West,Los Angeles,Individual,Renault Duster 110PS Diesel RxZ
Texas,Central,Dallas,Individual,Mahindra XUV500 W4
Texas,Central,Dallas,Individual,Maruti Alto 800 LXI Optional
California,West,San Francisco,Individual,Ford Figo Diesel Celebration Edition
California,West,San Francisco,Individual,Hyundai i10 Magna 1.2 iTech SE
California,West,San Francisco,Individual,Maruti Swift Dzire VXI 1.2
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 SLX
New York,East,New York City,Individual,Maruti Wagon R VXI Optional
New York,East,New York City,Individual,Hyundai EON Magna Plus
Pennsylvania,East,Philadelphia,Individual,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV
Illinois,Central,Chicago,Dealer,Mitsubishi Pajero Sport 4X4
Illinois,Central,Chicago,Dealer,Chevrolet Beat Diesel LS
Illinois,Central,Chicago,Dealer,Volkswagen Ameo 1.5 TDI Comfortline
New York,East,New York City,Dealer,Toyota Etios VX
New York,East,New York City,Dealer,Renault KWID RXT
California,West,Los Angeles,Dealer,Maruti Zen Estilo VXI BSIV
California,West,Los Angeles,Dealer,Toyota Innova 2.5 G (Diesel) 8 Seater
California,West,Los Angeles,Dealer,Maruti Zen Estilo LXI BSIII
New York,East,New York City,Dealer,Hyundai Verna 1.6 SX
New York,East,New York City,Dealer,Honda Amaze VX i-DTEC
New York,East,New York City,Dealer,Maruti Swift VXI BSIV
California,West,Los Angeles,Dealer,Toyota Fortuner 2.8 2WD MT
Pennsylvania,East,Philadelphia,Individual,Ford Ecosport 1.5 Ti VCT MT Titanium
Pennsylvania,East,Philadelphia,Individual,Hyundai Grand i10 1.2 Kappa Magna AT
California,West,Los Angeles,Individual,Tata Aria Pride
North Carolina,South,Charlotte,Individual,Tata Sumo CX 10 Str BSIV
North Carolina,South,Charlotte,Individual,Tata Manza Aura Plus Quadrajet
New York,East,New York City,Individual,Hyundai i10 Sportz 1.1L
Washington,West,Seattle,Individual,Tata Indigo CS LX (TDI) BS-III
Georgia,South,Atlanta,Individual,Renault KWID 1.0 RXT Optional
North Carolina,South,Charlotte,Individual,Mahindra Bolero SLX
North Carolina,South,Charlotte,Individual,Mahindra TUV 300 T8
North Carolina,South,Charlotte,Individual,Maruti Swift Dzire LDI
New York,East,New York City,Individual,Maruti Alto 800 LXI
New York,East,New York City,Individual,Maruti Ertiga SHVS ZDI
California,West,Los Angeles,Individual,Tata Tiago NRG Petrol
California,West,Los Angeles,Individual,Ford Figo Diesel ZXI
California,West,Los Angeles,Individual,Maruti Omni E MPI STD BS IV
California,West,Los Angeles,Individual,Maruti Wagon R LXI BS IV
New York,East,New York City,Individual,Hyundai i10 Era
New York,East,New York City,Individual,Tata Bolt Revotron XE
Pennsylvania,East,Philadelphia,Individual,Maruti Ertiga SHVS VDI
Pennsylvania,East,Philadelphia,Individual,Tata Safari Storme EX
California,West,Los Angeles,Individual,Maruti Alto K10 VXI
California,West,Los Angeles,Individual,Hyundai Grand i10 1.2 CRDi Asta
California,West,Los Angeles,Individual,Renault KWID RXT
New York,East,New York City,Individual,Maruti Swift VDI
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 SLX
Texas,Central,Houston,Individual,Honda Accord V6 AT
North Carolina,South,Charlotte,Individual,Maruti Alto K10 VXI
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VDI
California,West,Los Angeles,Individual,Hyundai EON Era Plus
New York,East,New York City,Individual,Mahindra Scorpio S10 7 Seater
Massachusetts,East,Boston,Individual,Maruti Alto K10 VXI
California,West,Los Angeles,Individual,Hyundai Grand i10 CRDi Asta
California,West,Los Angeles,Individual,Ford EcoSport 1.5 TDCi Titanium BSIV
California,West,Los Angeles,Individual,Mahindra Bolero 2011-2019 DI - AC BS III
California,West,Los Angeles,Individual,Hyundai i20 Asta (o) 1.4 CRDi (Diesel)
California,West,Los Angeles,Individual,Tata Bolt Quadrajet XE
California,West,Los Angeles,Individual,Mahindra Thar CRDe
California,West,Los Angeles,Individual,Mahindra Xylo E4 BS IV
Florida,South,Miami,Individual,Mahindra Xylo E4 BS IV
New York,East,New York City,Individual,Maruti Wagon R VXI BS IV
New York,East,New York City,Individual,Tata Indica Vista Aura Safire Anniversary Edition
New York,East,New York City,Individual,Maruti Wagon R VXI BS IV
New York,East,New York City,Dealer,Jaguar XE 2016-2019 2.0L Diesel Prestige
New York,East,New York City,Dealer,Lexus ES 300h
New York,East,New York City,Dealer,Jaguar XF 2.0 Diesel Portfolio
California,West,Los Angeles,Individual,Tata Safari Storme EX
Illinois,Central,Chicago,Individual,Volvo XC40 D4 Inscription BSIV
Washington,West,Seattle,Trustmark Dealer,Toyota Camry 2.5 Hybrid
Washington,West,Seattle,Trustmark Dealer,Maruti Wagon R LXI
New York,East,New York City,Dealer,Maruti Baleno Alpha 1.3
Washington,West,Seattle,Trustmark Dealer,Honda Jazz VX
California,West,Los Angeles,Trustmark Dealer,Toyota Innova 2.5 VX (Diesel) 7 Seater
California,West,Los Angeles,Trustmark Dealer,Maruti Swift AMT VVT VXI
New York,East,New York City,Trustmark Dealer,Toyota Etios VX
New York,East,New York City,Dealer,Maruti Swift AMT ZXI
Florida,South,Miami,Dealer,Hyundai Grand i10 1.2 CRDi Sportz
Illinois,Central,Chicago,Dealer,BMW X4 M Sport X xDrive20d
California,West,San Francisco,Dealer,BMW X4 M Sport X xDrive20d
District of Columbia,East,Washington,Dealer,Skoda Rapid 1.6 MPI AT Elegance
District of Columbia,East,Washington,Dealer,Volvo V40 D3 R-Design
Illinois,Central,Chicago,Individual,Mahindra TUV 300 T8
New York,East,New York City,Individual,Maruti A-Star Zxi
District of Columbia,East,Washington,Individual,Hyundai i10 Asta
New York,East,New York City,Individual,Mahindra Thar CRDe AC
Florida,South,Miami,Individual,Fiat Grande Punto Sport 90BHP
Florida,South,Miami,Individual,Maruti Alto LXi
California,West,Los Angeles,Individual,Hyundai Getz 1.5 CRDi GVS
California,West,Los Angeles,Individual,Mahindra TUV 300 T8
Illinois,Central,Chicago,Individual,Tata Indica V2 Turbomax DLS BS IV
Illinois,Central,Chicago,Individual,Hyundai Xcent 1.2 Kappa Base
California,West,Los Angeles,Individual,Maruti Swift Dzire Tour S CNG
New York,East,New York City,Individual,Maruti Swift Dzire VXI 1.2
Florida,South,Miami,Individual,Ford EcoSport 1.5 Diesel Titanium BSIV
Illinois,Central,Chicago,Individual,Toyota Yaris V CVT BSIV
Massachusetts,East,Boston,Individual,Mercedes-Benz E-Class E250 CDI Avantgarde
North Carolina,South,Charlotte,Individual,Toyota Fortuner 4x2 4 Speed AT
North Carolina,South,Charlotte,Individual,Mahindra KUV 100 G80 K2
Massachusetts,East,Boston,Individual,Volkswagen Vento Diesel Highline
California,West,Los Angeles,Individual,Ford Figo 1.2P Titanium Opt MT
California,West,Los Angeles,Individual,Mahindra Bolero 2011-2019 SLE
Massachusetts,East,Boston,Individual,Hyundai Santro Xing GLS
Massachusetts,East,Boston,Individual,Hyundai Santro Xing GLS
Massachusetts,East,Boston,Individual,Nissan Sunny Diesel XV
California,West,San Diego,Individual,Hyundai Santro Xing GL Plus
Georgia,South,Atlanta,Individual,Maruti Wagon R LXI BS IV
Washington,West,Seattle,Individual,Hyundai i10 Era
Washington,West,Seattle,Individual,Mahindra Xylo D2 BS IV
Washington,West,Seattle,Individual,Maruti Wagon R LXI Minor
North Carolina,South,Charlotte,Individual,Tata Indigo CS LS (TDI) BS-III
Florida,South,Miami,Individual,Mahindra Bolero 2011-2019 DI BSIII
California,West,Los Angeles,Individual,Maruti Swift Dzire VDI
Florida,South,Miami,Individual,Maruti Swift Vdi BSIII
Washington,West,Seattle,Individual,Renault KWID 1.0 RXT Optional
Florida,South,Miami,Individual,Mahindra Xylo E6
Florida,South,Miami,Individual,Maruti Wagon R LXI BSIII
California,West,Los Angeles,Individual,Mahindra Bolero DI DX 8 Seater
California,West,Los Angeles,Individual,Mahindra TUV 300 T8
California,West,Los Angeles,Individual,Hyundai EON Era Plus
New York,East,New York City,Individual,Maruti Zen Estilo LXI BS IV
New York,East,New York City,Individual,Maruti Celerio VXI
California,West,Los Angeles,Individual,Hyundai EON Era Plus
California,West,Los Angeles,Individual,Mahindra Bolero DI DX 8 Seater
California,West,Los Angeles,Individual,Chevrolet Tavera Neo 3 LT 9 Seats BSIII
New York,East,New York City,Individual,Hyundai i20 Asta 1.4 CRDi
New York,East,New York City,Individual,Hyundai Elite i20 Magna Plus BSIV
Illinois,Central,Chicago,Individual,Mahindra TUV 300 T6 Plus
Illinois,Central,Chicago,Individual,Mahindra Scorpio M2DI
Illinois,Central,Chicago,Individual,Honda CR-V 2.4 4WD AT
Illinois,Central,Chicago,Individual,Datsun GO Anniversary Edition
Texas,Central,Dallas,Individual,Mahindra KUV 100 mFALCON G80 K2
Texas,Central,Dallas,Individual,Hyundai i20 Sportz 1.4 CRDi
Texas,Central,Dallas,Individual,Maruti Celerio LXI
California,West,Los Angeles,Individual,Hyundai Accent GLE
Pennsylvania,East,Philadelphia,Individual,Mahindra Bolero 2011-2019 SLE
Massachusetts,East,Boston,Individual,Tata Indigo CS LS (TDI) BS III
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 Plus AC
Florida,South,Miami,Individual,Mahindra Bolero 2011-2019 Plus - AC BSIII
Massachusetts,East,Boston,Individual,Nissan Sunny XE
Michigan,Central,Detroit,Individual,Tata Manza Club Class Quadrajet90 VX
Michigan,Central,Detroit,Individual,Hyundai Xcent 1.1 CRDi SX Option
Michigan,Central,Detroit,Individual,Hyundai Xcent 1.2 VTVT E Plus
Pennsylvania,East,Philadelphia,Individual,Ford Freestyle Titanium Plus Petrol BSIV
Pennsylvania,East,Philadelphia,Individual,Skoda Rapid Ultima 1.6 TDI Elegance
Pennsylvania,East,Philadelphia,Individual,Mahindra Bolero 2011-2019 Plus - AC BSIII
Pennsylvania,East,Philadelphia,Individual,Mahindra Bolero 2011-2019 Plus-AC Plus PS BSIII
New York,East,New York City,Individual,Toyota Innova 2.5 G (Diesel) 7 Seater
Illinois,Central,Chicago,Individual,Hyundai Grand i10 1.2 Kappa Magna AT
Illinois,Central,Chicago,Individual,Renault KWID 1.0 RXT Optional
Illinois,Central,Chicago,Individual,Volkswagen Polo 1.5 TDI Comfortline
California,West,Los Angeles,Individual,Chevrolet Beat LT
New York,East,New York City,Individual,Maruti Swift VXI Optional
California,West,San Francisco,Individual,Mahindra XUV500 W10 2WD
Massachusetts,East,Boston,Individual,Tata Indica V2 DLX TC
Massachusetts,East,Boston,Individual,Hyundai Grand i10 1.2 Kappa Magna BSIV
New York,East,New York City,Individual,Maruti Alto K10 VXI
Massachusetts,East,Boston,Individual,Maruti Eeco 7 Seater Standard BSIV
Texas,Central,Houston,Individual,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV
California,West,Los Angeles,Individual,Toyota Innova 2.5 E Diesel MS 8-seater
California,West,Los Angeles,Individual,Tata Indigo eCS VX BSIV
California,West,Los Angeles,Individual,Ford Figo Aspire 1.2 Ti-VCT Titanium
California,West,Los Angeles,Individual,Mahindra Scorpio 2.6 CRDe SLE
Pennsylvania,East,Philadelphia,Individual,Hyundai EON Era Plus
New York,East,New York City,Individual,Hyundai EON D Lite
New York,East,New York City,Individual,Maruti Alto LX
New York,East,New York City,Individual,Maruti Vitara Brezza ZDi Plus Dual Tone
Illinois,Central,Chicago,Individual,Volkswagen Polo Diesel Highline 1.2L
Illinois,Central,Chicago,Individual,Hyundai Grand i10 1.2 Kappa Sportz BSIV
New York,East,New York City,Individual,Mahindra Xylo D2
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 DI - AC BS III
New York,East,New York City,Individual,Fiat Linea 1.3 Active
California,West,San Diego,Individual,Hyundai Grand i10 CRDi Sportz
Washington,West,Seattle,Individual,Mahindra Xylo D4 BSIV
California,West,Los Angeles,Individual,Honda Amaze i-VTEC Privilege Edition
Texas,Central,Houston,Individual,Maruti Alto K10 VXI
Texas,Central,Houston,Individual,Mahindra Scorpio M2DI
Texas,Central,Houston,Individual,Tata Indica Vista Quadrajet ZX
Michigan,Central,Detroit,Individual,Ford Endeavour Hurricane Limited Edition
Massachusetts,East,Boston,Individual,Hyundai Grand i10 Sportz
Massachusetts,East,Boston,Individual,Ford Freestyle Trend Petrol BSIV
California,West,San Diego,Individual,Mahindra XUV500 W8 2WD
California,West,San Diego,Individual,Chevrolet Aveo U-VA 1.2 LS
California,West,Los Angeles,Individual,Mahindra Bolero SLX 2WD BSIII
New York,East,New York City,Individual,Mahindra Scorpio 2.6 SPORTZ CRDe
New York,East,New York City,Individual,Hyundai Santro Xing GL
Illinois,Central,Chicago,Individual,Datsun RediGO Sport
Illinois,Central,Chicago,Individual,Mahindra Bolero ZLX BSIII
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VXI
Washington,West,Seattle,Individual,Tata Indigo CS LS (TDI) BS III
Florida,South,Miami,Individual,Ford Freestyle Titanium Petrol BSIV
California,West,Los Angeles,Individual,Honda Civic 1.8 V AT
Massachusetts,East,Boston,Individual,Mahindra XUV500 W6 2WD
California,West,Los Angeles,Individual,Maruti Alto LXi
California,West,Los Angeles,Individual,Chevrolet Tavera Neo 3 LS 10 Str
New York,East,New York City,Individual,Maruti Swift VDI
New York,East,New York City,Individual,Datsun GO Plus D1
California,West,Los Angeles,Individual,Maruti Swift Dzire VDi
Washington,West,Seattle,Individual,Renault KWID 1.0 RXT Optional
Washington,West,Seattle,Individual,Chevrolet Enjoy 1.3 TCDi LS 7
District of Columbia,East,Washington,Individual,Maruti Wagon R VXI BS IV
District of Columbia,East,Washington,Individual,Maruti Swift VXI Optional
District of Columbia,East,Washington,Individual,Hyundai EON D Lite Plus
North Carolina,South,Charlotte,Individual,Renault Duster 110PS Diesel RxZ
Massachusetts,East,Boston,Individual,Honda City 2017-2020 GXi
Massachusetts,East,Boston,Individual,Tata Tigor 1.2 Revotron XT
Michigan,Central,Detroit,Individual,Maruti 800 AC
Michigan,Central,Detroit,Individual,Honda Amaze VX Diesel BSIV
District of Columbia,East,Washington,Individual,Maruti Ertiga ZXI
California,West,Los Angeles,Individual,Tata Manza Aura Quadrajet
Washington,West,Seattle,Individual,Maruti Ertiga ZXI
Michigan,Central,Detroit,Individual,Hyundai i20 Asta 1.2
Texas,Central,Dallas,Individual,Maruti Omni E MPI STD BS IV
Texas,Central,Houston,Individual,Tata Manza Aura Quadrajet
New York,East,New York City,Individual,Mahindra Bolero VLX CRDe
New York,East,New York City,Individual,Maruti Alto Std
Washington,West,Seattle,Individual,Maruti Omni 8 Seater BSII
Washington,West,Seattle,Individual,Honda Amaze E i-Dtech
Washington,West,Seattle,Individual,Toyota Innova 2.5 VX (Diesel) 7 Seater
Washington,West,Seattle,Individual,Hyundai EON Era Plus
Washington,West,Seattle,Individual,Maruti Wagon R LXI BS IV
California,West,Los Angeles,Individual,Maruti Baleno Alpha 1.2
California,West,Los Angeles,Individual,Hyundai i20 Magna
Texas,Central,Houston,Individual,Maruti Ritz VDi
Texas,Central,Houston,Individual,Hyundai Creta 1.6 CRDi SX
Texas,Central,Houston,Individual,Maruti Swift Dzire VXI
New York,East,New York City,Individual,Hyundai Verna 1.6 CRDi S
New York,East,New York City,Individual,Mahindra XUV500 W10 1.99 mHawk
New York,East,New York City,Individual,Maruti Swift ZXI
New York,East,New York City,Individual,Hyundai Santro Xing XS
New York,East,New York City,Individual,Maruti Alto 800 LXI
New York,East,New York City,Individual,Maruti Alto 800 LXI
New York,East,New York City,Individual,Ford EcoSport 1.5 TDCi Titanium Plus BSIV
New York,East,New York City,Individual,Mahindra Verito Vibe 1.5 dCi D4
New York,East,New York City,Individual,Maruti Wagon R Stingray VXI
New York,East,New York City,Individual,Maruti Wagon R Stingray VXI
New York,East,New York City,Individual,Tata Sumo Gold EX BSIII
Florida,South,Miami,Individual,Maruti Zen Estilo LXI BS IV
Michigan,Central,Detroit,Individual,Tata Sumo GX
New York,East,New York City,Individual,Maruti Ritz ZXi
Pennsylvania,East,Philadelphia,Individual,Tata Indica Vista Terra 1.4 TDI
California,West,Los Angeles,Individual,Hyundai i10 Sportz 1.1L
New York,East,New York City,Individual,Hyundai Grand i10 1.2 Kappa Sportz BSIV
California,West,San Diego,Individual,Ford Fiesta 1.4 ZXi Duratec
California,West,San Diego,Individual,Mahindra KUV 100 mFALCON G80 K2
New York,East,New York City,Individual,Hyundai i10 Sportz 1.1L
New York,East,New York City,Individual,Maruti Swift Dzire VDI
Texas,Central,Dallas,Individual,Tata Indica Vista Aqua 1.3 Quadrajet BSIV
Massachusetts,East,Boston,Individual,Maruti Alto LX
Massachusetts,East,Boston,Individual,Mahindra Scorpio SLE BSIV
California,West,Los Angeles,Individual,Hyundai Verna CRDi SX
Illinois,Central,Chicago,Individual,Hyundai EON 1.0 Kappa Magna Plus
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VDI
Illinois,Central,Chicago,Individual,Maruti Ertiga ZDI
Illinois,Central,Chicago,Individual,Tata Indigo GLX
Illinois,Central,Chicago,Individual,Renault KWID 1.0 RXT Optional
Pennsylvania,East,Philadelphia,Individual,Chevrolet Sail Hatchback Petrol
California,West,Los Angeles,Individual,Maruti Omni E MPI STD BS IV
Washington,West,Seattle,Individual,Hyundai i20 Asta Option 1.2
Texas,Central,Houston,Individual,Renault KWID RXT
Texas,Central,Houston,Individual,Hyundai Verna 1.6 VGT CRDi
Massachusetts,East,Boston,Individual,Maruti Ertiga VDI
Georgia,South,Atlanta,Individual,Maruti Alto 800 CNG LXI
Washington,West,Seattle,Individual,Renault KWID RXT
California,West,Los Angeles,Individual,Hyundai EON Era
California,West,Los Angeles,Individual,Maruti Swift Dzire ZDI
California,West,Los Angeles,Individual,Maruti Wagon R Duo Lxi
Massachusetts,East,Boston,Individual,Toyota Corolla Altis D-4D J
California,West,Los Angeles,Individual,Hyundai i20 Sportz 1.2
Massachusetts,East,Boston,Individual,Tata Manza Aqua Quadrajet BS IV
New York,East,New York City,Individual,Mahindra Xylo H4
California,West,Los Angeles,Individual,Tata Indigo LS
California,West,Los Angeles,Individual,Mahindra Xylo H4
Washington,West,Seattle,Individual,Tata Indigo CS LX (TDI) BS-III
Washington,West,Seattle,Individual,Ford Fiesta Classic 1.4 Duratorq CLXI
Washington,West,Seattle,Individual,Maruti Celerio VXI
Washington,West,Seattle,Individual,Renault Triber RXT BSIV
California,West,Los Angeles,Individual,Chevrolet Beat Diesel LT
New York,East,New York City,Individual,Mahindra Scorpio Getaway
New York,East,New York City,Individual,Renault KWID RXT
District of Columbia,East,Washington,Individual,Chevrolet Sail 1.2 LS ABS
Texas,Central,Houston,Individual,Mahindra Bolero DI Non AC BSIII
New York,East,New York City,Individual,Tata Indigo CS LX (TDI) BS III
New York,East,New York City,Individual,Hyundai Accent GLX
New York,East,New York City,Individual,Ford Fusion 1.4 TDCi Diesel
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 SLX
New York,East,New York City,Individual,Mahindra Scorpio 1.99 S10
New York,East,New York City,Individual,Skoda Octavia Ambition 2.0 TDI MT
Texas,Central,Houston,Individual,Ford Figo Diesel Titanium
District of Columbia,East,Washington,Individual,Mahindra Bolero SLX
District of Columbia,East,Washington,Individual,Tata Indigo CS LX (TDI) BS III
North Carolina,South,Charlotte,Individual,Honda WR-V i-DTEC VX
District of Columbia,East,Washington,Individual,Honda City 2017-2020 GXi
New York,East,New York City,Individual,Hyundai i20 Magna 1.4 CRDi
Michigan,Central,Detroit,Individual,Maruti Vitara Brezza VDi
New York,East,New York City,Individual,Hyundai Elite i20 Petrol Asta Option
Florida,South,Miami,Individual,Ford Figo Diesel Titanium
Washington,West,Seattle,Individual,Toyota Innova 2.5 G4 Diesel 7-seater
Florida,South,Miami,Individual,Hyundai i20 1.2 Sportz
Georgia,South,Atlanta,Individual,Audi A4 2.0 TDI
California,West,Los Angeles,Individual,Toyota Etios GD
District of Columbia,East,Washington,Individual,Hyundai Grand i10 1.2 Kappa Sportz BSIV
District of Columbia,East,Washington,Individual,Hyundai i20 Sportz 1.2
Illinois,Central,Chicago,Individual,Hyundai EON Magna Plus
North Carolina,South,Charlotte,Individual,Tata Zest Quadrajet 1.3 75PS XE
Georgia,South,Atlanta,Individual,Tata Indica Vista Quadrajet VX
California,West,Los Angeles,Individual,Hyundai EON Era Plus
New York,East,New York City,Individual,Hyundai Grand i10 1.2 CRDi Asta
District of Columbia,East,Washington,Individual,Maruti Eeco Smiles 7 Seater Standard
District of Columbia,East,Washington,Individual,Datsun GO Plus Anniversary Edition
New York,East,New York City,Individual,Maruti Swift Dzire VDi
New York,East,New York City,Individual,Mahindra TUV 300 T6 Plus
New York,East,New York City,Individual,Hyundai i20 1.4 CRDi Magna
California,West,Los Angeles,Individual,Maruti Alto 800 VXI Plus
California,West,Los Angeles,Individual,Renault KWID RXT Optional
New York,East,New York City,Individual,Maruti XL6 Alpha
Washington,West,Seattle,Individual,Hyundai i20 Active SX Diesel
New York,East,New York City,Individual,Mahindra TUV 300 Plus P4 BSIV
California,West,Los Angeles,Individual,Mahindra Bolero 2011-2019 DI - AC BS III
California,West,Los Angeles,Individual,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV
Pennsylvania,East,Philadelphia,Individual,Tata Tigor 1.05 Revotorq XZ Option
Pennsylvania,East,Philadelphia,Individual,Honda City i DTEC VX Option
Pennsylvania,East,Philadelphia,Individual,Hyundai Santro Magna BSIV
Pennsylvania,East,Philadelphia,Individual,Maruti Ertiga VDI
California,West,Los Angeles,Individual,Maruti Swift VDI Optional
Massachusetts,East,Boston,Individual,Maruti Alto K10 Knightracer
Massachusetts,East,Boston,Individual,Chevrolet Beat Diesel LT
Georgia,South,Atlanta,Individual,Hyundai i20 Active 1.4 SX with AVN
Texas,Central,Houston,Individual,Maruti SX4 ZDI
New York,East,New York City,Individual,Maruti Wagon R LXI Minor
Washington,West,Seattle,Individual,Maruti 800 AC
California,West,Los Angeles,Individual,Hyundai Verna 1.6 SX
New York,East,New York City,Individual,Hyundai Verna CRDi SX ABS
California,West,San Diego,Individual,Tata New Safari 3L Dicor LX 4x2
Massachusetts,East,Boston,Individual,Maruti Zen LXI
Massachusetts,East,Boston,Individual,Maruti Swift Ldi BSIII
Massachusetts,East,Boston,Individual,Hyundai Creta 1.4 EX Diesel
New York,East,New York City,Individual,Maruti Swift Dzire VDI
Washington,West,Seattle,Individual,Chevrolet Beat Diesel LT
Texas,Central,Dallas,Individual,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV
Texas,Central,Dallas,Individual,Ford Figo Diesel EXI
California,West,Los Angeles,Individual,Hyundai Verna CRDi SX
California,West,Los Angeles,Individual,Maruti Zen D
New York,East,New York City,Individual,Maruti Swift Dzire VXI 1.2
North Carolina,South,Charlotte,Individual,Renault Duster 85PS Diesel RxL
North Carolina,South,Charlotte,Individual,Renault Triber RXZ BSIV
North Carolina,South,Charlotte,Individual,Maruti Vitara Brezza ZDi Plus Dual Tone
California,West,Los Angeles,Individual,Maruti Ertiga ZDI
New York,East,New York City,Individual,Maruti Zen Estilo 1.1 LXI BSIII
District of Columbia,East,Washington,Individual,Mahindra XUV500 W6 2WD
Pennsylvania,East,Philadelphia,Individual,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV
Pennsylvania,East,Philadelphia,Individual,Hyundai i20 1.4 Asta Option
